X,Y
545.707,2.064
540.029,2.064
534.350,2.065
528.671,2.065
522.992,2.066
517.314,2.067
511.635,2.067
505.956,2.068
500.278,2.069
494.599,2.069
488.920,2.070
476.617,2.071
459.391,2.072
442.166,2.073
424.941,2.074
407.715,2.076
390.490,2.077
373.265,2.078
356.039,2.079
338.814,2.080
321.589,2.082
304.363,2.083
287.138,2.084
269.913,2.085
252.687,2.087
235.462,2.088
218.237,2.089
205.038,2.090
208.280,2.088
211.523,2.086
214.765,2.084
218.007,2.082
221.250,2.080
224.492,2.079
227.734,2.077
230.977,2.075
234.219,2.073
237.461,2.071
240.704,2.069
243.946,2.068
247.188,2.066
250.431,2.064
253.673,2.062
256.915,2.060
270.738,2.061
286.889,2.062
303.040,2.063
319.190,2.065
335.341,2.066
351.491,2.067
367.642,2.068
383.793,2.070
399.943,2.071
416.094,2.072
432.245,2.073
448.395,2.074
464.546,2.076
480.697,2.077
496.847,2.078
512.998,2.079
513.397,2.081
493.962,2.083
474.526,2.084
455.090,2.086
435.654,2.088
416.219,2.090
396.783,2.092
377.347,2.094
357.911,2.095
338.476,2.097
319.040,2.099
299.604,2.101
280.168,2.103
260.733,2.105
241.297,2.106
221.861,2.108
203.688,2.110
203.498,2.109
203.309,2.107
203.120,2.106
202.930,2.105
202.741,2.104
202.552,2.103
202.363,2.101
202.173,2.100
201.984,2.099
201.795,2.098
201.605,2.096
201.416,2.095
201.227,2.094
201.038,2.093
200.848,2.092
200.659,2.090
212.153,2.091
228.933,2.092
245.712,2.093
262.492,2.095
279.271,2.096
296.051,2.097
312.831,2.098
329.610,2.099
346.390,2.101
363.169,2.102
379.949,2.103
396.729,2.104
413.508,2.105
430.288,2.107
447.067,2.108
463.847,2.109
476.758,2.110
481.118,2.109
485.477,2.109
489.837,2.108
494.197,2.107
498.557,2.107
502.917,2.106
507.276,2.106
511.636,2.105
515.996,2.104
520.356,2.104
524.715,2.103
529.075,2.102
533.435,2.102
537.795,2.101
542.154,2.101
546.514,2.100
527.401,2.103
506.640,2.107
485.879,2.111
465.118,2.114
444.358,2.118
423.597,2.122
402.836,2.125
382.075,2.129
361.315,2.133
340.554,2.136
319.793,2.140
299.032,2.144
278.271,2.147
257.511,2.151
236.750,2.155
215.989,2.158
206.324,2.156
205.469,2.149
204.614,2.141
203.759,2.134
202.904,2.127
202.049,2.119
201.194,2.112
200.340,2.105
199.485,2.097
198.630,2.090
197.775,2.083
196.920,2.075
196.065,2.068
195.210,2.061
194.356,2.053
193.501,2.046
192.711,2.040
192.216,2.037
191.722,2.035
191.227,2.032
190.732,2.030
190.238,2.027
189.743,2.025
189.249,2.022
188.754,2.020
188.259,2.018
187.765,2.015
187.270,2.013
186.776,2.010
186.281,2.008
185.786,2.005
185.292,2.003
184.797,2.000
184.038,2.009
183.214,2.021
182.389,2.033
